dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao
cgna.gov.br                       ;000.394.429/0048-74;Departamento de Controle do Espaço Aéreo          ;RJ;Rio de Janeiro     ;20021-130;26/12/2001 18:40;14/09/2015 17:29
cindacta2.gov.br                  ;000.394.429/0055-01;Segundo Centro Integrado de Contr. Trafego Aéreo  ;PR;Curitiba           ;82510-901;28/07/2010 11:05;04/06/2014 00:30
dtceagw.gov.br                    ;000.394.429/0094-00;Comando da Aeronautica - SRPV-SP                  ;SP;São Paulo          ;04626-911;30/09/2009 13:51;01/10/2015 17:55
dtceast.gov.br                    ;000.394.429/0094-00;Comando da Aeronautica - SRPV-SP                  ;SP;São Paulo          ;04626-911;30/09/2009 13:36;01/10/2015 18:08
fab.gov.br                        ;000.394.429/0122-06;Centro de Computação da Aeronáutica de Brasília   ;DF;Brasília           ;70045-900;05/02/2003 12:48;04/02/2014 15:56
gesac.gov.br                      ;000.394.437/0001-57;Ministério das Comunicações                       ;DF;Brasília           ;70044-900;19/11/2003 19:09;25/03/2015 13:00
dominiopublico.gov.br             ;000.394.445/0003-65;Ministério da Educação                            ;DF;Brasília           ;70047-900;28/10/2004 19:29;23/01/2014 12:08
mec.gov.br                        ;000.394.445/0139-39;Ministério da Educação                            ;DF;Brasília           ;70047-900;14/12/1995 12:00;23/01/2014 11:54
proinfo.gov.br                    ;000.394.445/0540-23;Ministério da Educação                            ;DF;Brasília           ;70047-090;01/07/1998 21:35;23/01/2014 12:08
casadoscontos.gov.br              ;000.394.460/0263-70;Centro Regional de Treinamento ESAF               ;MG;Belo Horizonte     ;30320-400;20/09/2001 14:11;14/11/2009 14:18
brasilmaior.gov.br                ;000.394.478/0002-24;MINISTÉRIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVI;DF;Brasília           ;70053-900;03/08/2011 13:43;10/05/2013 19:22
comexbrazil.gov.br                ;000.394.478/0002-24;MINISTÉRIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVI;DF;Brasília           ;70053-900;04/07/2011 13:06;10/05/2013 19:23
exportabrasil.gov.br              ;000.394.478/0002-24;MINISTÉRIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVI;DF;Brasília           ;70053-900;23/11/2001 15:48;15/02/2013 16:52
manufaturaavancada.gov.br         ;000.394.478/0002-24;MINISTÉRIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVI;DF;Brasília           ;70053-900;21/07/2016 17:25;21/07/2016 17:25
portaldoempreendedor.gov.br       ;000.394.478/0002-24;MINISTÉRIO DA INDUSTRIA, COMERCIO EXTERIOR E SERVI;DF;Brasília           ;70053-900;30/06/2009 13:50;05/02/2010 19:41
portaldaexportacao.gov.br         ;000.394.478/0003-05;Ministério do Desenvolvimento                     ;DF;Brasília           ;70053-900;02/01/2002 17:49;15/02/2013 15:37
senasp.gov.br                     ;000.394.494/0005-60;Secretaria Nacional de Segurança Pública          ;DF;Brasília           ;70064-900;13/05/2010 13:32;28/10/2015 10:40
crimecongress2010.gov.br          ;000.394.494/0013-70;MINISTERIO DA JUSTICA                             ;DF;Brasília           ;70064-900;02/10/2009 19:40;04/04/2013 14:37
entreguesuaarma.gov.br            ;000.394.494/0013-70;MINISTERIO DA JUSTICA                             ;DF;Brasília           ;70064-900;03/05/2011 12:52;04/04/2013 14:37
pronasci.gov.br                   ;000.394.494/0013-70;MINISTERIO DA JUSTICA                             ;DF;Brasília           ;70064-900;26/08/2009 20:22;04/04/2013 14:38
traficodepessoas.gov.br           ;000.394.494/0013-70;MINISTERIO DA JUSTICA                             ;DF;Brasília           ;70064-900;11/06/2013 11:56;11/06/2013 11:56
dpf-ce.gov.br                     ;000.394.494/0023-41;SUPER. REGIONAL DA POLICIA FEDERAL NO CEARÁ       ;CE;Fortaleza          ;60415-430;23/02/1997 12:00;24/03/2004 14:19
dprf.gov.br                       ;000.394.494/0104-41;Departamento de Polícia Rodoviária Federal        ;DF;Brasília           ;70610-200;05/10/1998 12:29;02/02/2016 11:36
mpas.gov.br                       ;000.394.528/0008-69;Ministerio da Previdencia e Assistencia Social    ;DF;Brasília           ;70059-900;20/03/1996 12:00;27/07/2008 18:46
itamaraty.gov.br                  ;000.394.536/0006-43;MINISTERIO DAS RELACOES EXTERIORES                ;DF;Brasília           ;70170-900;12/02/1999 11:00;10/09/2014 00:03
brasilglobalnet.gov.br            ;000.394.536/0009-96;Min. Relações Exteriores Depto Promoção Comercial ;DF;Brasília           ;70170-900;29/12/2010 12:59;10/07/2014 14:21
btig.gov.br                       ;000.394.536/0009-96;Min. Relações Exteriores Depto Promoção Comercial ;DF;Brasília           ;70170-900;06/05/2013 15:12;10/07/2014 14:19
comex.gov.br                      ;000.394.536/0009-96;Min. Relações Exteriores Depto Promoção Comercial ;DF;Brasília           ;70170-900;22/08/2007 18:21;10/07/2014 14:16
promocaocomercial.gov.br          ;000.394.536/0009-96;Min. Relações Exteriores Depto Promoção Comercial ;DF;Brasília           ;70170-900;27/06/2012 14:17;10/07/2014 14:16
pcdl.gov.br                       ;000.394.536/0016-15;Primeira Comissao Brasileira Demarcadora de Limite;PA;Belem              ;66035-100;03/09/2002 11:55;03/09/2002 12:00
conitec.gov.br                    ;000.394.544/0008-51;MINISTERIO DA SAUDE                               ;DF;Brasília           ;70058-900;06/10/2014 14:47;06/06/2016 13:42
iec.gov.br                        ;000.394.544/0025-52;FNS - Instituto Evandro Chagas                    ;PA;Ananindeua         ;67030-000;14/10/2013 14:42;04/12/2013 18:33
hgb.gov.br                        ;000.394.544/0202-91;Hospital Geral de Bonsucesso                      ;RJ;Rio de Janeiro     ;21041-030;25/05/1999 14:09;06/03/2001 12:03
itaipu.gov.br                     ;000.395.988/0014-50;ITAIPU BINACIONAL                                 ;PR;Foz do Iguaçu      ;85866-900;15/10/1996 11:00;09/10/2014 19:33
lapa-pe.gov.br                    ;000.396.895/0021-79;Ministério da Agricultura - DFA - Lapa - Recife   ;PE;Recife             ;52171-030;27/03/2001 17:19;27/03/2001 14:19
pronaf.gov.br                     ;000.396.895/0069-13;Ministerio do Desenvolvimento Agrario             ;DF;Brasília           ;70057-900;19/03/1998 17:52;08/06/2015 22:28
cnenpc.gov.br                     ;000.402.552/0007-11;COMISSÃO NACIONAL DE ENERGIA NUCLEAR              ;MG;Poços de Caldas    ;37719-005;26/03/2001 12:28;11/02/2015 12:33
fiscalizacaorio2016.gov.br        ;000.414.607/0001-18;Tribunal de Contas da União                       ;DF;Brasília           ;70042-900;27/11/2013 16:58;27/11/2013 16:58
governancapublica.gov.br          ;000.414.607/0001-18;Tribunal de Contas da União                       ;DF;Brasília           ;70042-900;12/08/2014 18:30;10/09/2014 19:50
seminariobrasildigital.gov.br     ;000.414.607/0001-18;Tribunal de Contas da União                       ;DF;Brasília           ;70042-900;02/03/2015 19:51;02/03/2015 19:51
rpp.gov.br                        ;000.422.744/0001-02;Fundação de Amparo a Pesquisa do Estado do Piauí  ;PI;Teresina           ;64018-200;08/05/1998 18:23;09/02/2001 20:58
e-jud.gov.br                      ;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA                      ;DF;Brasília           ;70095-900;11/05/2004 12:04;03/11/2015 18:02
unijus.gov.br                     ;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA                      ;DF;Brasília           ;70095-900;26/09/2006 17:47;11/02/2016 13:26
colabora.gov.br                   ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;05/01/2015 13:06;05/01/2015 13:06
desafios.gov.br                   ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;28/07/2015 11:40;28/07/2015 11:40
inclusaodigital.gov.br            ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;05/08/2005 20:10;22/01/2014 17:27
mp.gov.br                         ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;20/08/1999 11:50;22/01/2014 17:27
pesquisa.gov.br                   ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;28/07/2015 11:40;28/07/2015 11:40
recadastramento.gov.br            ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;18/02/2013 10:59;13/02/2015 13:12
sispac.gov.br                     ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;30/08/2011 18:34;22/01/2014 17:29
xn--notcias-9ya.gov.br            ;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;26/03/2013 12:27;22/01/2014 17:28
projetobrasilmunicipios.gov.br    ;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão     ;DF;Brasília           ;70046-900;04/02/2009 10:56;22/01/2014 17:35
pbqp-h.gov.br                     ;000.489.828/0006-60;Ministério das Cidades                            ;DF;Brasília           ;70070-010;04/06/1998 16:41;24/09/2014 17:34
patrimoniodetodos.gov.br          ;000.489.828/0009-02;Secretaria do Patromônio da União                 ;DF;Brasília           ;70046-900;30/09/2009 11:01;02/02/2010 11:43
jf.gov.br                         ;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL                       ;DF;Brasília           ;70200-003;07/01/2005 10:29;25/03/2014 13:12
jfse.gov.br                       ;000.508.903/0018-26;Justica Federal - Secao Judiciaria do Estado de SE;SE;Aracaju            ;49080-902;12/01/1999 20:17;20/06/2016 14:18
eleicoes.gov.br                   ;000.509.018/0001-13;Tribunal Superior Eleitoral                       ;DF;Brasília           ;70096-900;02/08/2001 18:49;02/10/2013 17:06
tre-ba.gov.br                     ;000.509.018/0004-66;Tribunal Regional Eleitoral da Bahia              ;BA;Salvador           ;40237-900;24/07/1998 20:05;08/01/2015 21:05
tre-ma.gov.br                     ;000.509.018/0009-70;Tribunal Regional Eleitoral do Maranhão           ;MA;São Luís           ;65010-917;31/08/1998 13:27;08/01/2015 21:11
tre-pi.gov.br                     ;000.509.018/0016-08;Tribunal Regional Eleitoral do Piauí              ;PI;Teresína           ;64000-830;12/08/1998 13:39;08/01/2015 21:14
tre-sp.gov.br                     ;000.509.018/0021-67;Tribunal Regional Eleitoral de São Paulo          ;SP;São Paulo          ;01316-900;07/08/1998 15:04;23/09/2015 16:41
tre-rr.gov.br                     ;000.509.018/0026-71;Tribunal Regional Eleitoral de Roraima            ;RR;Boa Vista          ;69301-380;05/08/1998 19:21;08/01/2015 21:17
justicadotrabalho.gov.br          ;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO                     ;DF;Brasília           ;70070-943;23/03/2001 12:50;04/03/2015 19:06
trt05.gov.br                      ;000.509.968/0006-52;TRIBUNAL REGIONAL DO TRABALHO DA 5A. REGIAO       ;BA;Salvador           ;40055-010;13/11/1997 11:00;04/11/2015 13:33
trt13.gov.br                      ;000.509.968/0014-62;Tribunal regional do Trabalho 13 Regiao           ;PB;João Pessoa        ;58013-260;16/01/1998 12:25;14/05/2013 17:22
cidadania.gov.br                  ;000.530.279/0004-68;SENADO FEDERAL                                    ;DF;Brasília           ;70165-900;25/10/2000 12:50;22/01/2014 15:58
senado.gov.br                     ;000.530.279/0004-68;SENADO FEDERAL                                    ;DF;Brasília           ;70165-900;01/01/1996 12:00;05/02/2016 15:53
transparencianacopa.gov.br        ;000.530.279/0004-68;SENADO FEDERAL                                    ;DF;Brasília           ;70165-900;12/07/2011 16:17;24/01/2014 20:06
camaradosdeputados.gov.br         ;000.530.352/0001-59;Camara dos Deputados                              ;DF;Brasília           ;70160-900;27/05/2005 11:43;08/06/2015 19:42
plenarinho.gov.br                 ;000.530.352/0001-59;Camara dos Deputados                              ;DF;Brasília           ;70160-900;22/09/2003 13:17;11/06/2015 14:00
cortesmercosul.gov.br             ;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL                          ;DF;Brasília           ;70175-900;30/10/2007 15:48;08/10/2014 15:29
radiojustica.gov.br               ;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL                          ;DF;Brasília           ;70175-900;15/03/2004 11:50;08/10/2014 15:33
stfnet.gov.br                     ;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL                          ;DF;Brasília           ;70175-900;17/03/1999 19:20;08/10/2014 15:34
enap.gov.br                       ;000.627.612/0001-09;Escola Nacional de Administração Pública - ENAP   ;DF;Brasília           ;70610-900;10/09/1997 12:00;06/07/2016 13:34
oconsumidor.gov.br                ;000.662.270/0003-20;INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECN;RJ;Rio de Janeiro     ;20261-232;30/10/2000 16:12;20/05/2015 12:18
rbmlq.gov.br                      ;000.662.270/0009-15;INMETRO INSTITUTO NAC DE METROL NORM E QUAL INDUST;RS;Porto Alegre       ;90240-581;16/12/2010 11:40;16/12/2010 11:40
eafsrbonfim.gov.br                ;000.853.966/0001-71;Escola Agrotecnica Federal de Senhor do Bonfim    ;BA;Senhor do Bonfim   ;48970-000;24/06/1999 13:57;12/10/2007 14:17
vicepresidenciadarepublica.gov.br ;000.894.355/0001-71;VICE PRESIDENCIA DA REPUBLICA                     ;DF;Brasilia           ;70150-900;10/04/2000 16:46;10/07/2007 23:18
cin-sci.gov.br                    ;001.175.497/0001-41;Agencia Brasileira de Inteligencia                ;DF;Brasília           ;70610-200;03/10/1995 12:00;18/11/2014 13:14
orint.gov.br                      ;001.175.497/0001-41;Agencia Brasileira de Inteligencia                ;DF;Brasília           ;70610-200;02/12/1999 19:22;18/11/2014 13:19
mct.gov.br                        ;001.263.896/0003-26;Ministério da Ciência, Tecnologia e Inovação      ;DF;Brasília           ;70067-900;01/01/1996 12:00;22/01/2016 20:08
inpa.gov.br                       ;001.263.896/0015-60;INSTITUTO NACIONAL DE PESQUISAS DA AMAZONIA       ;AM;Manaus             ;69067-375;28/07/1997 12:00;21/05/2013 14:23
brasilia2010.gov.br               ;001.264.142/0002-00;Ministério da Cultura                             ;DF;Brasília           ;70308-200;02/02/2010 15:56;04/07/2014 11:03
mincrj.gov.br                     ;001.264.142/0002-00;Ministério da Cultura                             ;DF;Brasília           ;70308-200;06/08/1998 16:57;21/03/2013 19:26
vivaleitura.gov.br                ;001.264.142/0002-00;Ministério da Cultura                             ;DF;Brasília           ;70308-200;20/12/2004 17:56;07/01/2015 17:04
trt20.gov.br                      ;001.445.033/0001-08;TRIBUNAL REGIONAL DO TRABALHO DA 20A. REGIAO      ;SE;Aracaju            ;49080-190;06/12/1997 11:00;13/09/2007 13:51
aiaf2014.gov.br                   ;001.612.452/0001-97;Ministerio do Desenvolvimento Agrario             ;DF;Brasília           ;70054-900;18/02/2014 14:41;08/06/2015 22:26
condraf.gov.br                    ;001.612.452/0001-97;Ministerio do Desenvolvimento Agrario             ;DF;Brasília           ;70054-900;01/06/2016 19:43;01/06/2016 19:43
emdiacomopronaf.gov.br            ;001.612.452/0001-97;Ministerio do Desenvolvimento Agrario             ;DF;Brasília           ;70054-900;28/10/2015 14:10;28/10/2015 14:39
territoriosdacidadania.gov.br     ;001.612.452/0001-97;Ministerio do Desenvolvimento Agrario             ;DF;Brasília           ;70054-900;19/02/2008 19:56;24/02/2015 21:27
saemec.gov.br                     ;001.678.363/0001-43;INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIO;DF;Brasília           ;70340-909;13/10/1998 19:10;25/11/1998 12:00
cgtee.gov.br                      ;002.016.507/0004-01;Companhia de Geração Termica de Energia Eletrica  ;RS;Porto Alegre       ;90010-190;11/07/2000 13:28;14/09/2013 15:23
mpes.gov.br                       ;002.304.470/0001-74;Ministério Público do Estado do Espírito Santo    ;ES;Vitória            ;29050-265;14/09/2001 16:51;28/01/2010 20:20
brazilrounds.gov.br               ;002.313.673/0002-08;Agência Nacional do Petróleo, Gás Natural e Bioco.;RJ;Rio de Janeiro     ;20090-004;10/10/2000 17:47;18/08/2015 11:57
crbio01.gov.br                    ;002.366.047/0001-07;Conselho Regional de Biologia                     ;SP;São Paulo          ;04001-083;22/01/2009 10:18;17/02/2015 03:12
tecnojusc.gov.br                  ;002.482.005/0001-23;TRIBUNAL REGIONAL DO TRABALHO 12 REGIAO           ;SC;Florianópolis      ;88015-905;20/08/2001 18:42;18/11/2003 11:41
trt4.gov.br                       ;002.520.619/0001-52;Tribunal Regional do Trabalho da 4 Regiao         ;RS;Porto Alegre       ;90110-903;15/05/1997 12:00;22/03/2014 23:06
bid2002brasil.gov.br              ;002.927.863/0001-34;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;14/11/2001 17:57;22/01/2014 17:32
infra-estruturabrasil.gov.br      ;002.927.863/0001-34;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;01/09/2000 15:25;22/01/2014 17:32
planejamento.gov.br               ;002.927.863/0001-34;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;28/10/1999 18:51;14/07/2015 13:46
redesocial.gov.br                 ;002.927.863/0001-34;Ministerio do Planejamento, Orcamento e Gestao    ;DF;Brasília           ;70046-900;25/06/2001 19:13;22/01/2014 17:34
brasil2016.gov.br                 ;002.961.362/0001-74;ME - Ministerio do Esporte                        ;DF;Brasília           ;70610-440;23/10/2013 13:42;23/10/2013 13:42
portaldacopa.gov.br               ;002.961.362/0001-74;ME - Ministerio do Esporte                        ;DF;Brasília           ;70610-440;09/11/2011 12:25;03/07/2014 13:10
profae.gov.br                     ;003.009.608/0001-75;Secretaria de Gestão de Investimentos em Saúde    ;DF;Brasília           ;70058-900;21/11/2001 17:47;01/02/2006 20:10
ctlivre.gov.br                    ;003.132.745/0001-00;Ministério da Ciência e Tecnologia                ;DF;Brasília           ;70067-900;16/11/2004 10:22;04/02/2013 17:38
brasilcentral.gov.br              ;003.230.476/0001-07;Sec. de Estado de Plan. e Orçamento do DF         ;DF;Brasília           ;70620-000;16/09/2015 19:09;16/09/2015 19:09
trt-02.gov.br                     ;003.241.738/0001-39;Tribunal Regional do Trabalho da 2a Regiao        ;SP;São Paulo          ;01139-001;11/06/1999 19:34;15/02/2016 21:12
trtwap.gov.br                     ;003.241.738/0001-39;Tribunal Regional do Trabalho da 2a Regiao        ;SP;São Paulo          ;01139-001;25/10/2000 12:50;15/02/2016 21:16
integracao.gov.br                 ;003.353.358/0001-96;MINISTERIO DA INTEGRACAO NACIONAL                 ;DF;Brasília           ;70067-901;16/02/2000 17:16;25/09/2013 17:50
go.gov.br                         ;003.517.631/0001-70;Secretaria de Gestão e Planejamento de Goiás      ;GO;Goiânia            ;74115-030;18/06/1996 12:00;04/08/2015 17:50
saudesuplementar.gov.br           ;003.589.068/0001-46;Agencia Nacional de Saude Suplementar             ;RJ;Rio de Janeiro     ;20021-040;08/08/2000 19:33;13/07/2004 14:13
ibama.gov.br                      ;003.659.166/0001-02;INSTITUTO BRASILEIRO DO MEIO AMBIENTE             ;DF;Brasilia           ;70818-900;01/01/1996 12:00;31/03/2006 22:35
cref-sp.gov.br                    ;003.676.803/0001-59;Conselho Regional de Educação Física do Est.de SP.;SP;São Paulo          ;01009-000;09/10/2008 16:11;06/08/2016 03:54
ce.gov.br                         ;003.773.788/0001-67;EMPRESA DE TECNOLOGIA DA INFORMACAO DO CEARA-ETICE;CE;Fortaleza          ;60130-240;27/05/1996 12:00;18/01/2013 12:21
ac.gov.br                         ;004.034.468/0001-58;SECRETARIA DE ESTADO DA GESTAO ADMINISTRATIVA - SG;AC;Rio Branco         ;69900-060;21/10/1998 11:00;28/06/2016 17:46
crbio-03.gov.br                   ;004.053.157/0001-36;Conselho Regional de Biologia - 3a. Região        ;RS;Porto Alegre       ;90460-210;29/01/2009 17:24;29/01/2009 17:24
crbio3.gov.br                     ;004.053.157/0001-36;Conselho Regional de Biologia - 3a. Região        ;RS;Porto Alegre       ;90460-210;29/01/2009 17:39;29/01/2009 17:39
biodiesel.gov.br                  ;004.082.993/0001-49;IBICT - MCTI                                      ;DF;Brasília           ;70070-912;04/02/2005 10:33;05/08/2014 23:15
ana.gov.br                        ;004.204.444/0001-08;Agência Nacional de Águas                         ;DF;Brasília           ;70610-200;20/03/2001 21:24;19/10/2012 20:11
dom.gov.br                        ;004.224.785/0001-37;Projeto Dom Helder Câmara                         ;PE;Recife             ;50070-490;14/07/2003 14:45;04/06/2013 13:08
conarq.gov.br                     ;004.374.067/0001-47;Arquivo Nacional                                  ;RJ;Rio de Janeiro     ;20230-170;06/09/2011 12:42;21/05/2015 20:19
aleam.gov.br                      ;004.530.820/0001-46;ASSEMBLEIA LEGISLATIVA DO ESTADO DO AMAZONAS      ;AM;MANAUS             ;69005-140;13/11/2000 17:30;13/11/2000 15:30
crmvpaap.gov.br                   ;004.798.070/0001-98;Conselho Regional de Medicina Veterinaria Para    ;PA;Belém              ;66063-090;06/02/2001 19:19;07/11/2012 14:27
ci-brasil.gov.br                  ;004.822.500/0001-60;Centro de Tecnologia da Informação Renato Archer  ;SP;Campinas           ;13069-901;05/12/2007 18:49;08/01/2015 12:17
antt.gov.br                       ;004.898.488/0001-77;Agência Nacional de Transportes Terrestres        ;DF;Brasília           ;70200-003;15/04/2002 11:34;31/01/2014 13:14
